id,name
inf_rep_branch_61,6.1
inf_rep_branch_70,7.0
inf_rep_branch_80,8.0
inf_rep_branch_master,master
inf_rep_branch_s3,saas-3
inf_rep_branch_s4,saas-4
inf_rep_branch_s5,saas-5
