id,name
server_conf_12_04_server,Ubuntu 12.04 server
server_conf_14_04_server,Ubuntu 14.04 server
server_conf_14_04_desktop,Ubuntu 14.04 Desktop
server_conf_debian_6,Debian 6
server_conf_debian_7,Debian 7
